market,period,method,band,n,share_of_events,mean_predicted,expected_wins,actual_wins,actual_rate,difference_pp,wilson95_low,wilson95_high
football_1x2::primary_closing_B365_BW_PS,development,shin,80-84.9%,80,0.02300834052343975,0.8260943045550494,66.08754436440395,67,0.8375,1.1405695444950625,0.7415709565930229,0.9025018059704963
football_1x2::primary_closing_B365_BW_PS,development,shin,85-89.9%,50,0.014380212827149842,0.870000799207544,43.5000399603772,44,0.88,0.9999200792455976,0.7619518261679701,0.9438239984906773
football_1x2::primary_closing_B365_BW_PS,development,shin,90-94.9%,8,0.0023008340523439745,0.912487965392365,7.29990372313892,8,1.0,8.751203460763502,0.6755924351161198,1.0
football_1x2::primary_closing_B365_BW_PS,development,shin,95%+,0,0.0,,0.0,0,,,,
football_1x2::primary_closing_B365_BW_PS,validation,multiplicative,50-54.9%,236,0.12526539278131635,0.5244113892771906,123.76108786941697,130,0.5508474576271186,2.6436068349928066,0.4870773726072658,0.6129887298839737
football_1x2::primary_closing_B365_BW_PS,validation,multiplicative,55-59.9%,219,0.11624203821656051,0.5745161148671127,125.81902915589768,129,0.589041095890411,1.4524981023298245,0.5228894761870051,0.6521228406699795
football_1x2::primary_closing_B365_BW_PS,validation,multiplicative,60-64.9%,120,0.06369426751592357,0.6274970600043507,75.29964720052209,67,0.5583333333333333,-6.916372667101733,0.4690452309131966,0.6440025330046214
football_1x2::primary_closing_B365_BW_PS,validation,multiplicative,65-69.9%,84,0.044585987261146494,0.6756843948096444,56.75748916401013,67,0.7976190476190477,12.19346528094033,0.6995818724114075,0.8696254321036759
football_1x2::primary_closing_B365_BW_PS,validation,multiplicative,70-74.9%,83,0.0440552016985138,0.7244008587514006,60.12527127636625,62,0.7469879518072289,2.258709305582829,0.6439770378335421,0.8281476887288564
football_1x2::primary_closing_B365_BW_PS,validation,multiplicative,75-79.9%,80,0.04246284501061571,0.7734088601113859,61.87270880891087,62,0.775,0.1591139888614146,0.6721321021639265,0.8526679265915337
football_1x2::primary_closing_B365_BW_PS,validation,multiplicative,80-84.9%,45,0.02388535031847134,0.8218212206485395,36.981954929184276,41,0.9111111111111111,8.928989046257163,0.7926642466571064,0.9648888832736299
football_1x2::primary_closing_B365_BW_PS,validation,multiplicative,85-89.9%,23,0.012208067940552018,0.8777438072940168,20.188107567762387,23,1.0,12.22561927059832,0.8568833815495731,1.0
football_1x2::primary_closing_B365_BW_PS,validation,multiplicative,90-94.9%,1,0.0005307855626326964,0.9077441498671636,0.9077441498671636,1,1.0,9.225585013283643,0.20654931437723745,1.0
football_1x2::primary_closing_B365_BW_PS,validation,multiplicative,95%+,0,0.0,,0.0,0,,,,
football_1x2::primary_closing_B365_BW_PS,validation,additive,50-54.9%,241,0.12791932059447983,0.5244244056859648,126.38628177031751,125,0.5186721991701245,-0.5752206515840297,0.45579322118038085,0.5809652593618834
football_1x2::primary_closing_B365_BW_PS,validation,additive,55-59.9%,210,0.11146496815286625,0.574953706875243,120.74027844380103,122,0.580952380952381,0.5998674077137944,0.5133513124853876,0.6456449840583477
football_1x2::primary_closing_B365_BW_PS,validation,additive,60-64.9%,129,0.06847133757961783,0.6223744067355175,80.28629846888175,76,0.5891472868217055,-3.3227119913811998,0.5028661010486245,0.6702726178737927
football_1x2::primary_closing_B365_BW_PS,validation,additive,65-69.9%,94,0.049893842887473464,0.6716307424194614,63.13328978742937,65,0.6914893617021277,1.98586192826663,0.592143129006893,0.775799054541026
football_1x2::primary_closing_B365_BW_PS,validation,additive,70-74.9%,85,0.04511677282377919,0.7242779002438069,61.563621520723586,68,0.8,7.572209975619315,0.7028462911516961,0.8712100185598731
football_1x2::primary_closing_B365_BW_PS,validation,additive,75-79.9%,77,0.04087048832271762,0.774650346441651,59.64807667600713,59,0.7662337662337663,-0.8416580207884716,0.660461714721147,0.8467037990895051
football_1x2::primary_closing_B365_BW_PS,validation,additive,80-84.9%,60,0.03184713375796178,0.8214144452075078,49.28486671245047,51,0.85,2.858555479249214,0.7388541093022145,0.9190255941983225
football_1x2::primary_closing_B365_BW_PS,validation,additive,85-89.9%,28,0.014861995753715499,0.871816359963497,24.410858078977917,26,0.9285714285714286,5.675506860793156,0.7735463743160095,0.9801879358846942
football_1x2::primary_closing_B365_BW_PS,validation,additive,90-94.9%,14,0.0074309978768577496,0.9145771555053859,12.804080177075402,14,1.0,8.542284449461413,0.7846891972623643,1.0
football_1x2::primary_closing_B365_BW_PS,validation,additive,95%+,0,0.0,,0.0,0,,,,
football_1x2::primary_closing_B365_BW_PS,validation,power,50-54.9%,244,0.12951167728237792,0.5242183237231396,127.90927098844605,126,0.5163934426229508,-0.7824881100188752,0.45392347894897234,0.578355220660312
